NUMERO;NO ENCONTRADAS
1;PALABRA
2;datan
3;desentramar
4;asomando
5;laboratorio
6;Hace
7;últimos
8;parásitos
9;separarlos
10;laboratorios
11;quedaban
12;acaba
13;Tenemos
14;aceleró
15;fue
16;gigantes
17;cuchillo
18;asegura
19;Es
20;No
21;quemazones
22;arroyo
23;humedad
24;destaca
25;nuevos
26;produzca
27;indica
28;kilómetros
29;iguales
30;interesantes
31;pueden
32;cadera
33;Así
34;depredaron
35;Quedan
36;rompió
37;lejos
38;costillas
39;primitiva
40;afirma
41;andando
42;jugó
43;Están
44;culpas
45;ennegrecido
46;títulos
47;redatar
48;ahí
49;siguieron
50;juntan
51;reactivando
52;moléculas
53;9000
54;seres
55;analizada
56;cargan
57;Entonces
58;Acá
59;probablemente
60;Museo
61;describe
62;cazadas
63;forman
64;hechos
65;bajas
66;contaminando
67;arqueológica
68;concluye
69;esperable
70;trabajando
71;juntas
72;ha
73;convertiría
74;lenta
75;estadounidenses
76;poblaciones
77;teníamos
78;humanos
79;desenterraron
80;Después
81;dataciones
82;falsa
83;pastizales
84;produjo
85;estimada
86;investigadores
87;momento
88;detalla
89;campos
90;convencionales
91;estaban
92;Antropología
93;1500
94;arrojan
95;tirado
96;agota
97;advierte
98;aman
99;tiene
100;eventos
101;Ahora
102;fueron
103;Hasta
104;exista
105;marcas
106;hayan
107;sospechamos
108;ocurrido
109;puede
110;ataca
111;hicieron
112;metros
113;cortando
114;reflejan
115;agrega
116;húmicos
117;disrupciones
118;hallados
119;coexistieron
120;quejoso
121;sospechas
122;habían
123;datarlo
124;lanzas
125;También
126;logra
127;grandes
128;sitios
129;Ángeles
130;tenemos
131;pasó
132;megaterio
133;permiten
134;8000
135;megamamíferos
136;herramientas
137;ácidos
138;pedazos
139;12600
140;procesando
141;explica
142;aclara
143;asegurás
144;dio
145;evidencias
146;siguen
147;han
148;hay
149;argentinos
150;ocurre
151;controversia
152;dinstinguido
153;sabe
154;Digamos
155;dudas
156;rejuvenece
157;fúlvicos
158;fémur
159;carneando
160;pampeana
161;investigaciones
162;había
163;sí
164;sentado
165;toneladas
166;convertido
167;publicado
168;suspendido
169;Científicas
170;instrumentos
171;madroño
172;2003
173;descontaminarse
174;jardineros
175;examinaron
176;determinantes
177;reactivan
178;hallazgos
179;Técnicas
180;negra
181;permite
182;erige
183;Investigaciones
184;investigadora
185;artefacto
186;creemos
187;sorprendió
188;cazadores
189;grupos
190;12000
191;métodos
192;enfatizado
193;confirmamos
194;Mundo
195;demuestran
196;está
197;aparecieron
198;encontramos
199;apetito
200;colágeno
201;desfavorable
202;académicos
203;dimos
204;toros
205;proyectiles
206;sido
207;encima
208;respecto
209;artefactos
210;daba
211;inició
212;operado
213;propios
214;conviene
215;prehistórica
216;comieron
217;descubrimiento
218;reciente
219;tasas
220;desarrolló
221;oso
222;cena
223;podríamos
224;juntamos
225;armados
226;podrán
227;sucesivas
228;extinguieron
229;trabajó
230;Encontramos
231;carnearon
232;tipos
233;hallazgo
234;﻿Los
235;7500
236;estuvieron
237;están
238;Estaban
239;larga
240;llegaron
241;extinguido
242;hicimos
243;Hay
244;coherentes
245;arqueólogos
246;tuvo
